   (234) Barbara                         1883 08 12  Clinton                  Peters, C. H. F.
   (235) Carolina                        1883 11 28  Vienna                   Palisa, J.
   (236) Honoria                         1884 04 26  Vienna                   Palisa, J.
   (237) Coelestina                      1884 06 27  Vienna                   Palisa, J.
   (238) Hypatia                         1884 07 01  Berlin                   Knorre, V.
   (239) Adrastea                        1884 08 18  Vienna                   Palisa, J.
   (240) Vanadis                         1884 08 27  Marseilles               Borrelly, A.
   (241) Germania                        1884 09 12  Düsseldorf               Luther, R.
   (242) Kriemhild                       1884 09 22  Vienna                   Palisa, J.
   (243) Ida                             1884 09 29  Vienna                   Palisa, J.
   (244) Sita                            1884 10 14  Vienna                   Palisa, J.
   (245) Vera                            1885 02 06  Madras                   Pogson, N. R.
   (246) Asporina                        1885 03 06  Marseilles               Borrelly, A.
   (247) Eukrate                         1885 03 14  Düsseldorf               Luther, R.
   (248) Lameia                          1885 06 05  Vienna                   Palisa, J.
   (249) Ilse                            1885 08 16  Clinton                  Peters, C. H. F.
   (250) Bettina                         1885 09 03  Vienna                   Palisa, J.
   (251) Sophia                          1885 10 04  Vienna                   Palisa, J.
   (252) Clementina                      1885 10 11  Nice                     Perrotin, J.
   (253) Mathilde                        1885 11 12  Vienna                   Palisa, J.
   (254) Augusta                         1886 03 31  Vienna                   Palisa, J.
   (255) Oppavia                         1886 03 31  Vienna                   Palisa, J.
   (256) Walpurga                        1886 04 03  Vienna                   Palisa, J.
   (257) Silesia                         1886 04 05  Vienna                   Palisa, J.
   (258) Tyche                           1886 05 04  Düsseldorf               Luther, R.
   (259) Aletheia                        1886 06 28  Clinton                  Peters, C. H. F.
   (260) Huberta                         1886 10 03  Vienna                   Palisa, J.
   (261) Prymno                          1886 10 31  Clinton                  Peters, C. H. F.
   (262) Valda                           1886 11 03  Vienna                   Palisa, J.
   (263) Dresda                          1886 11 03  Vienna                   Palisa, J.
   (264) Libussa                         1886 12 22  Clinton                  Peters, C. H. F.
   (265) Anna                            1887 02 25  Vienna                   Palisa, J.
   (266) Aline                           1887 05 17  Vienna                   Palisa, J.
   (267) Tirza                           1887 05 27  Nice                     Charlois, A.
   (268) Adorea                          1887 06 08  Marseilles               Borrelly, A.
   (269) Justitia                        1887 09 21  Vienna                   Palisa, J.
   (270) Anahita                         1887 10 08  Clinton                  Peters, C. H. F.
   (271) Penthesilea                     1887 10 13  Berlin                   Knorre, V.
   (272) Antonia                         1888 02 04  Nice                     Charlois, A.
   (273) Atropos                         1888 03 08  Vienna                   Palisa, J.
   (274) Philagoria                      1888 04 03  Vienna                   Palisa, J.
   (275) Sapientia                       1888 04 15  Vienna                   Palisa, J.
   (276) Adelheid                        1888 04 17  Vienna                   Palisa, J.
   (277) Elvira                          1888 05 03  Nice                     Charlois, A.
   (278) Paulina                         1888 05 16  Vienna                   Palisa, J.
   (279) Thule                           1888 10 25  Vienna                   Palisa, J.
   (280) Philia                          1888 10 29  Vienna                   Palisa, J.
   (281) Lucretia                        1888 10 31  Vienna                   Palisa, J.
   (282) Clorinde                        1889 01 28  Nice                     Charlois, A.
   (283) Emma                            1889 02 08  Nice                     Charlois, A.
   (284) Amalia                          1889 05 29  Nice                     Charlois, A.
   (285) Regina                          1889 08 03  Nice                     Charlois, A.
   (286) Iclea                           1889 08 03  Vienna                   Palisa, J.
   (287) Nephthys                        1889 08 25  Clinton                  Peters, C. H. F.
   (288) Glauke                          1890 02 20  Düsseldorf               Luther, R.
   (289) Nenetta                         1890 03 10  Nice                     Charlois, A.
   (290) Bruna                           1890 03 20  Vienna                   Palisa, J.
   (291) Alice                           1890 04 25  Vienna                   Palisa, J.
   (292) Ludovica                        1890 04 25  Vienna                   Palisa, J.
   (293) Brasilia                        1890 05 20  Nice                     Charlois, A.
   (294) Felicia                         1890 07 15  Nice                     Charlois, A.
   (295) Theresia                        1890 08 17  Vienna                   Palisa, J.
   (296) Phaëtusa                        1890 08 19  Nice                     Charlois, A.
   (297) Caecilia                        1890 09 09  Nice                     Charlois, A.
   (298) Baptistina                      1890 09 09  Nice                     Charlois, A.
   (299) Thora                           1890 10 06  Vienna                   Palisa, J.
   (300) Geraldina                       1890 10 03  Nice                     Charlois, A.
   (301) Bavaria                         1890 11 16  Vienna                   Palisa, J.
   (302) Clarissa                        1890 11 14  Nice                     Charlois, A.
   (303) Josephina                       1891 02 12  Rome                     Millosevich, E.
   (304) Olga                            1891 02 14  Vienna                   Palisa, J.
   (305) Gordonia                        1891 02 16  Nice                     Charlois, A.
